model,n_features,CV_R2_mean,CV_R2_std,CV_MAE_mean,CV_RMSE_mean
LinearRegression_onehot,20,0.7617889910149873,0.01640997861500376,2898.1430411158344,4016.4827727383918
RandomForest_default,11,0.7480793547779567,0.046896985786587464,2784.0399899797058,4138.506983748212
LinearRegression_ordinal,10,0.7462172715400566,0.017621473272173192,2946.2899749715048,4134.855863226931
XGBoost_default,11,0.6975800633430481,0.06515662887928772,2949.57412109375,4490.324609375
