model,train_R2_mean,val_R2_mean,gap
LinearRegression_ordinal,0.7731994391493243,0.7462172715400566,0.02698216760926775
RandomForest_default,0.9641496377256198,0.7480793547779567,0.21607028294766306
XGBoost_default,1.0,0.6975800633430481,0.3024199366569519
