date,score,cause,cnt,recover_t1,recover_t2,recover_hum,recover_wind_speed,recover_weather_code,recover_cnt
2015-07-01,-0.0937839763665742,t1,42641,0.08849377043151119,0.04798953179401111,0.018759783477680814,0.00019856985235156,-0.00244503933789908,0.022502530785031616
2015-07-09,-0.08215698979638453,cnt,72504,0.009619981483037665,0.002750262023716421,0.04262003773162559,0.0040088206204890175,0.004464323347789789,0.13852831004187544
2015-01-04,-0.06889980046420863,cnt,9234,0.016458979881352143,0.019772836485174694,0.02702467992635671,0.0024875225727115646,0.0,0.03571492841833512
2015-03-31,-0.06750177669230961,wind_speed,22602,0.0073187043282330055,0.009201027223798341,0.04334274536735827,0.10219239906694078,0.04245603770542983,-0.009803981966481135
2015-02-22,-0.04526005237412867,t2,9086,0.017036169610944785,0.044186845299823196,0.0014433267558677798,0.008554130622314027,0.024711345191882783,0.03897424106043379
2015-01-31,-0.03828570275946064,t2,10250,0.03575975697452305,0.04804321296163172,-0.003511490333829692,0.0032859138054406323,0.02871968294780014,0.025654904819577995
2015-01-18,-0.02874750575576679,weather_code,13199,0.024191731956055063,0.022594508011057224,-0.0031193252139218863,0.014830302473159751,0.030494237617003317,0.005072438480695607
2015-02-02,-0.02752574547751019,t1,21640,0.060419665921786714,0.05414382348637636,0.013806872829010497,-0.0024820936790840298,0.002617350732538659,0.0030302553344141447
2015-02-01,-0.026700013389455823,cnt,11305,0.0312731323019374,0.02727445100417869,0.009003225658085978,0.020594991388342088,0.0,0.036167308134966714
2015-03-29,-0.02564649344149117,cnt,8592,0.0021873441503241775,0.005910969056444171,0.0038330000919089002,0.04354069162968577,0.013534861846298929,0.046512754205928375
2015-11-21,-0.02403217512624678,cnt,12751,0.013338227505897748,0.024964285095508854,0.004724761675448552,0.020066234389225168,0.012788411099288743,0.02968259662188466
2015-08-06,-0.020766040535309838,cnt,63468,0.00905509251516401,0.006072983049302261,-0.0061015785260339905,-0.0018252607001744137,-0.002864244796051185,0.10852325295471704
2015-08-22,-0.014280544454843058,t1,44187,0.0672366440411345,0.034130464214824796,-0.012447777189021458,0.010366257371056231,-0.02868365915370097,0.00883341074429922
2015-11-01,-0.009974677948886734,hum,22848,-0.002440040983704872,-0.00627400866386163,0.06335670540844962,0.021526924584230223,0.016038029293737877,-0.003392006616454779
2015-02-03,-0.009052468172057182,t2,19869,0.030791383772727277,0.038259737736227706,0.010520676308746424,0.0007963983882656178,0.0,0.0012850211186612448
2015-06-30,-0.006899642620903035,t1,43326,0.02628304718362573,0.013108050103421087,0.017788672307357478,0.0004444171359109239,-0.03292754887004168,-0.010725179205023583
2015-01-20,-0.006197091035978652,t1,23247,0.0407767838165477,0.020473965846354747,0.01509370417873257,0.0163321504796905,0.02062196531665017,-0.01162644011808156
2015-02-06,-0.0026014936138663014,t2,20955,0.04442843671505925,0.062484956369872446,0.002855803929247891,0.009912146310654957,-0.004545034585536123,0.00032177049929393853
2015-07-10,-1.581524846694382e-05,hum,42779,0.0017476369626874266,-0.0004255462468746307,0.054352653775881055,0.003147357716361876,-0.02513293588528509,-0.004639046059364826
