model,CV_R2_2015_mean,CV_R2_2015_std,holdout_R2_2016,holdout_RMSE_2016,holdout_MAE_2016
LinearRegression_onehot,0.7617889910149874,0.016409978615003817,0.7690425889211305,4188.992708535846,3119.628090333949
LinearRegression_ordinal,0.7462172715400566,0.017621473272173192,0.7542115291565363,4321.3993961547685,3295.1639741868953
XGBoost_tuned,0.7934163212776184,0.04318293521662223,0.7488881945610046,4367.945512480667,3186.684814453125
RandomForest_tuned,0.7712619639370477,0.03556939237250682,0.7461608293664279,4391.601989429987,3302.7802008037393
RandomForest_default,0.7480793547779567,0.046896985786587464,0.7390867872259649,4452.374526620554,3285.970794520548
XGBoost_default,0.6975800633430481,0.06515662887928772,0.691470742225647,4841.6323693564345,3486.5703125
