stage,train_R2,test_R2,test_RMSE,test_MAE,cv_R2_mean,cv_RMSE_mean,cv_MAE_mean,best_params
before(default),0.9823764522658556,0.8864270991710124,674.8436585589311,426.18829931972783,0.875171483464473,673.2429309588058,457.4212761780512,n_estimators=300 (그 외 default)
after(tuned),0.9624687121768077,0.882414115533865,686.6626213128076,436.5595144917713,0.8739911902981097,676.8532065370102,465.14503590528875,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 15}"
