model,tuned,CV_R2,CV_R2_std,CV_RMSE,CV_RMSE_std,CV_MAE,CV_MAE_std,holdout_R2,holdout_RMSE,holdout_MAE
LinearRegression (순서형),False,0.7829753599278416,0.0428785500014564,887.6127510045626,54.567196620611995,656.2334594286503,36.93266065205082,0.8281856753804181,830.0332627172182,616.441720290891
LinearRegression (원-핫),False,0.8214438558447951,0.03386363523876017,805.4193315151621,43.57571497515388,586.7665249026586,14.230135379741885,0.8407098752170201,799.208765037972,585.0724345096456
RandomForest (n_est=300),False,0.875171483464473,0.026433751794835775,673.2429309588058,56.83089344676113,457.4212761780512,23.025471887436026,0.8864270991710124,674.8436585589311,426.18829931972783
RandomForest (튜닝),True,0.8739911902981097,0.024701546697693224,676.8532065370102,52.749663231925986,465.14503590528875,21.489024257264433,0.882414115533865,686.6626213128076,436.5595144917713
XGBoost (n_est=300),False,0.8724224686622619,0.02393462773332973,681.5387817382813,46.4823107616687,474.6246765136719,21.648052765162912,0.8835926055908203,683.2129746645625,447.38848876953125
XGBoost (튜닝),True,0.8932912111282348,0.02406980570319165,621.6585327148438,41.49912189049784,439.3584899902344,18.185899982582487,0.8967203497886658,643.5364208807455,435.1366271972656
