model,n_features,R2,RMSE,MAE
RandomForest,11,0.8864270991710124,674.8436585589311,426.18829931972783
XGBoost,11,0.8835926055908203,683.2129746645625,447.38848876953125
LinearRegression_onehot,29,0.8407098752170201,799.208765037972,585.0724345096456
LinearRegression_ordinal,11,0.8281856753804181,830.0332627172182,616.441720290891
